order_id,customer_id,payment,order_date,delivery_date
89,448,29268,2021-10-22,2021-11-16
90,809,11475,2021-6-13,2021-07-07
91,803,16601,2021-9-2,2021-09-15
92,273,37239,2021-1-12,2021-01-30
93,908,52379,2021-10-22,2021-11-11
94,629,47031,2021-3-8,2021-03-26
95,413,52416,2021-1-25,2021-02-05
96,415,12119,2021-6-20,2021-06-30
97,106,17772,2021-3-29,2021-03-31
98,257,44700,2021-4-29,2021-05-08
99,291,26787,2021-9-13,2021-09-25
100,817,57063,2021-3-30,2021-04-16
101,807,25174,2021-1-31,2021-02-27
102,846,41382,2021-5-7,2021-05-26
103,209,49852,2021-6-16,2021-06-24
104,366,11454,2021-6-5,2021-06-23
105,456,46013,2021-6-25,2021-07-14
106,573,12033,2021-3-9,2021-03-28
107,127,58760,2021-1-11,2021-02-03
108,935,52439,2021-3-7,2021-03-28
109,554,12707,2021-4-6,2021-04-29
110,607,15385,2021-9-2,2021-09-06
111,794,34096,2021-3-30,2021-04-14
112,75,46956,2021-2-4,2021-02-17
113,565,49592,2021-3-19,2021-04-08
114,160,49686,2021-8-8,2021-09-02
115,492,12685,2021-4-11,2021-04-22
116,510,15397,2021-4-25,2021-05-20
117,971,58134,2021-1-8,2021-01-23
118,639,37950,2021-2-20,2021-02-22
119,545,19955,2021-4-29,2021-05-06
120,585,53001,2021-6-9,2021-06-14
121,549,27436,2021-4-21,2021-04-23
122,732,29226,2021-4-13,2021-05-04
123,471,17133,2021-3-4,2021-03-22
124,776,43888,2021-7-6,2021-07-15
125,321,29600,2021-10-22,2021-11-03
126,326,29536,2021-1-31,2021-02-20
127,51,43262,2021-4-1,2021-04-11
128,936,17661,2021-10-13,2021-11-09
129,428,42185,2021-5-24,2021-05-27
130,439,12827,2021-6-20,2021-07-15
131,629,52850,2021-9-20,2021-09-24
132,562,10396,2021-4-17,2021-05-01
133,878,43759,2021-7-7,2021-07-17
134,12,39451,2021-6-19,2021-07-01
135,942,53723,2021-5-15,2021-06-02
136,539,35331,2021-9-6,2021-09-08
137,298,58875,2021-10-18,2021-10-20
138,331,50666,2021-2-5,2021-02-10
139,871,11224,2021-6-15,2021-06-28
140,539,35025,2021-4-8,2021-04-13
141,528,40203,2021-8-26,2021-09-13
142,237,53165,2021-6-15,2021-07-12
143,828,37187,2021-2-8,2021-02-11
144,928,15762,2021-5-22,2021-05-28
145,871,26358,2021-2-2,2021-02-10
146,912,22750,2021-8-30,2021-09-26
147,818,20690,2021-9-28,2021-10-16
148,573,14073,2021-1-14,2021-01-24
149,500,31490,2021-3-3,2021-03-14
150,462,34428,2021-6-22,2021-06-27
151,357,24626,2021-8-8,2021-09-01
152,320,24866,2021-3-9,2021-03-12
153,727,49677,2021-10-21,2021-11-17
154,674,49994,2021-10-17,2021-11-07
155,834,11166,2021-6-30,2021-07-18
156,727,37878,2021-7-10,2021-07-29
157,909,17955,2021-4-7,2021-04-17
158,828,14010,2021-7-13,2021-08-04
159,208,12449,2021-9-5,2021-09-13
160,725,41442,2021-7-31,2021-08-06
161,566,45840,2021-3-22,2021-04-11
162,431,20238,2021-4-25,2021-05-05
163,84,11473,2021-6-12,2021-06-17
164,412,26249,2021-5-21,2021-06-03
165,389,28345,2021-6-23,2021-07-20
166,113,11914,2021-7-11,2021-07-14
167,595,44269,2021-6-26,2021-07-18
168,664,51244,2021-1-10,2021-01-27
169,996,22089,2021-3-9,2021-03-12
170,867,28597,2021-8-17,2021-09-03
171,443,19467,2021-9-14,2021-09-16
172,224,47514,2021-1-5,2021-01-27
173,435,30001,2021-6-6,2021-07-01
174,497,46769,2021-2-22,2021-03-17
175,309,57197,2021-3-22,2021-04-16
176,574,28185,2021-9-26,2021-10-04
177,315,11314,2021-8-20,2021-09-01
178,236,31542,2021-2-2,2021-02-08
179,161,52081,2021-6-10,2021-06-27
180,469,14617,2021-5-29,2021-06-22
181,241,23142,2021-1-29,2021-02-13
182,461,33720,2021-2-22,2021-03-04
183,715,51587,2021-10-6,2021-10-12
184,240,48997,2021-9-15,2021-09-29
185,945,46608,2021-4-6,2021-04-20
186,833,24061,2021-9-26,2021-10-14
187,401,15167,2021-1-10,2021-01-19
188,571,41180,2021-4-10,2021-04-22
189,586,41543,2021-7-17,2021-08-08
190,421,28420,2021-2-1,2021-02-17
191,18,31002,2021-1-22,2021-02-15
192,842,30614,2021-2-6,2021-02-19
193,846,54256,2021-6-6,2021-06-07
194,415,21994,2021-10-23,2021-11-03
195,92,41725,2021-4-13,2021-04-17
196,630,48990,2021-10-22,2021-11-16
197,110,23619,2021-4-30,2021-05-01
198,640,29627,2021-8-31,2021-09-13
199,206,58054,2021-5-17,2021-05-18
200,15,50335,2021-8-24,2021-09-07
201,325,56321,2021-5-26,2021-06-18
202,129,49559,2021-4-15,2021-04-22
203,369,40129,2021-6-21,2021-07-11
204,568,35005,2021-9-30,2021-10-10
205,267,23779,2021-2-3,2021-02-04
206,654,24189,2021-6-1,2021-06-16
207,644,57755,2021-9-25,2021-09-28
208,28,39533,2021-10-10,2021-10-15
209,292,36341,2021-5-8,2021-05-20
210,723,21903,2021-7-22,2021-08-18
211,515,37122,2021-5-9,2021-05-17
212,62,29887,2021-10-14,2021-11-08
213,678,37684,2021-9-14,2021-09-27
214,288,25179,2021-6-20,2021-07-09
215,526,27531,2021-8-10,2021-08-20
216,865,56745,2021-4-16,2021-05-04
217,234,47120,2021-7-18,2021-07-31
218,606,22309,2021-7-12,2021-07-20
219,667,14137,2021-1-5,2021-01-10
220,555,23957,2021-10-10,2021-10-25
221,473,49366,2021-8-3,2021-08-17
222,368,28754,2021-9-8,2021-10-05
223,657,13441,2021-3-23,2021-03-30
224,628,20293,2021-7-7,2021-08-02
225,664,27059,2021-10-4,2021-10-26
226,28,44799,2021-7-9,2021-07-23
227,406,36809,2021-10-23,2021-11-19
228,773,10857,2021-1-6,2021-01-17
229,107,15827,2021-10-8,2021-10-20
230,497,54581,2021-8-31,2021-09-18
231,731,58824,2021-3-20,2021-04-09
232,256,44567,2021-5-2,2021-05-16
233,996,29939,2021-9-3,2021-09-19
234,133,26314,2021-9-18,2021-10-10
235,767,23434,2021-9-28,2021-10-12
236,228,49109,2021-7-15,2021-08-08
237,829,20267,2021-3-16,2021-04-06
238,328,59828,2021-3-17,2021-03-27
239,530,45974,2021-10-13,2021-11-02
240,578,37612,2021-1-27,2021-02-01
241,401,33692,2021-7-22,2021-08-17
242,909,12202,2021-8-25,2021-09-13
243,263,31631,2021-7-6,2021-07-11
244,637,18966,2021-9-2,2021-09-09
245,191,49443,2021-5-6,2021-05-10
246,641,39230,2021-6-19,2021-07-16
247,68,39513,2021-10-19,2021-11-12
248,457,29329,2021-1-15,2021-01-20
249,86,47181,2021-5-13,2021-05-26
250,518,18564,2021-3-26,2021-04-03
251,433,30132,2021-7-31,2021-08-27
252,683,11465,2021-1-11,2021-02-05
253,179,38502,2021-9-10,2021-10-02
254,571,57662,2021-8-7,2021-09-03
255,605,16272,2021-9-26,2021-10-15
256,313,15452,2021-8-9,2021-08-12
257,914,43972,2021-2-12,2021-03-02
258,742,38266,2021-10-21,2021-11-13
259,878,47527,2021-8-16,2021-09-07
260,317,56068,2021-7-13,2021-07-25
261,250,55396,2021-2-6,2021-03-01
262,812,55461,2021-5-22,2021-05-24
263,372,12599,2021-6-19,2021-07-08
264,636,55537,2021-6-13,2021-06-18
265,189,40896,2021-7-4,2021-07-29
266,623,58746,2021-3-10,2021-03-20
267,34,44791,2021-9-11,2021-09-12
268,530,57006,2021-3-16,2021-04-10
269,89,21446,2021-2-5,2021-02-22
270,711,14024,2021-3-2,2021-03-27
271,469,39282,2021-6-7,2021-06-09
272,92,19661,2021-1-20,2021-01-31
273,828,13233,2021-10-7,2021-11-03
274,19,50173,2021-4-13,2021-04-27
275,329,17666,2021-1-5,2021-01-15
276,775,48376,2021-6-20,2021-06-24
277,659,48337,2021-4-5,2021-04-06
278,510,19930,2021-1-30,2021-02-13
279,620,51563,2021-7-25,2021-07-28
280,551,20352,2021-1-7,2021-01-08
281,489,19908,2021-7-3,2021-07-15
282,423,41504,2021-3-30,2021-04-18
283,303,14784,2021-9-4,2021-09-15
284,522,36627,2021-4-29,2021-05-16
285,882,41206,2021-9-25,2021-10-20
286,998,18840,2021-1-5,2021-01-08
287,799,10368,2021-9-9,2021-10-03
288,201,36160,2021-10-13,2021-10-16
289,977,10046,2021-1-26,2021-02-16
290,364,48707,2021-8-1,2021-08-16
291,112,50830,2021-1-12,2021-02-05
292,337,36699,2021-3-26,2021-04-04
293,426,32389,2021-8-5,2021-08-13
294,499,50667,2021-8-28,2021-09-15
295,412,55019,2021-3-5,2021-03-19
296,207,47076,2021-10-22,2021-10-25
297,256,23789,2021-6-15,2021-06-27
298,58,55984,2021-9-11,2021-09-20
299,994,58159,2021-1-12,2021-02-03
300,912,47255,2021-9-30,2021-10-25
301,535,12986,2021-6-21,2021-06-25
302,156,32298,2021-6-19,2021-07-07
303,758,58670,2021-9-2,2021-09-11
304,537,27293,2021-4-10,2021-05-03
305,234,13377,2021-7-9,2021-07-26
306,747,51492,2021-10-16,2021-10-19
307,679,17726,2021-10-11,2021-10-28
308,549,18834,2021-2-13,2021-03-08
309,390,26229,2021-1-7,2021-01-25
310,348,18372,2021-4-25,2021-05-15
311,807,21226,2021-3-7,2021-03-25
312,683,38591,2021-7-6,2021-07-31
313,266,24507,2021-6-2,2021-06-11
314,95,49262,2021-8-14,2021-08-17
315,239,18075,2021-4-5,2021-04-25
316,179,59876,2021-9-12,2021-09-20
317,876,18204,2021-4-23,2021-04-26
318,433,39332,2021-1-31,2021-02-17
319,933,29837,2021-8-22,2021-09-16
320,41,19693,2021-8-22,2021-09-12
321,833,36589,2021-8-26,2021-08-31
322,686,41400,2021-8-17,2021-09-12
323,852,11437,2021-3-23,2021-04-13
324,99,10411,2021-7-5,2021-07-16
325,318,18010,2021-5-11,2021-05-28
326,199,15380,2021-6-22,2021-07-01
327,710,11611,2021-7-28,2021-07-31
328,246,26653,2021-4-14,2021-05-08
329,820,58708,2021-4-30,2021-05-24
330,887,31700,2021-3-12,2021-04-08
331,414,38796,2021-3-18,2021-03-23
332,466,12799,2021-3-13,2021-03-14
333,367,21091,2021-10-18,2021-11-09
334,539,32277,2021-5-12,2021-05-23
335,485,51638,2021-9-30,2021-10-24
336,615,16829,2021-5-25,2021-05-28
337,341,49047,2021-8-2,2021-08-04
338,630,12762,2021-1-26,2021-02-13
339,409,15556,2021-4-6,2021-04-13
340,841,56172,2021-7-17,2021-08-13
341,602,13882,2021-2-7,2021-02-09
342,348,29452,2021-8-24,2021-09-08
343,673,37831,2021-9-17,2021-10-06
344,526,44938,2021-8-16,2021-09-06
345,711,17146,2021-2-14,2021-03-05
346,739,35045,2021-3-23,2021-04-06
347,209,18829,2021-5-29,2021-06-14
348,732,42741,2021-10-7,2021-10-28
349,847,36910,2021-4-13,2021-04-29
350,869,49770,2021-2-14,2021-03-02
351,478,37332,2021-5-2,2021-05-04
352,52,13270,2021-10-8,2021-10-10
353,774,46198,2021-3-30,2021-04-05
354,18,33908,2021-2-26,2021-03-08
355,46,33100,2021-4-14,2021-04-24
356,236,34259,2021-4-1,2021-04-15
357,70,30735,2021-2-8,2021-02-13
358,796,41343,2021-4-7,2021-04-12
359,661,47911,2021-5-16,2021-05-31
360,870,45309,2021-8-3,2021-08-08
361,988,18831,2021-2-6,2021-02-25
362,96,21601,2021-9-30,2021-10-07
363,882,57405,2021-1-25,2021-02-21
364,925,25525,2021-3-13,2021-04-03
365,485,37396,2021-4-14,2021-04-25
366,334,43210,2021-7-15,2021-07-30
367,181,35564,2021-2-20,2021-03-19
368,556,15258,2021-9-2,2021-09-21
369,729,24488,2021-3-26,2021-04-18
370,986,53990,2021-1-22,2021-02-11
371,727,28931,2021-8-29,2021-09-15
372,991,51705,2021-3-14,2021-03-19
373,581,25727,2021-3-13,2021-04-03
374,981,25047,2021-6-5,2021-06-20
375,655,19991,2021-1-20,2021-01-26
376,571,15454,2021-7-4,2021-07-17
377,21,24815,2021-5-19,2021-05-28
378,623,37922,2021-9-29,2021-10-25
379,467,15378,2021-2-13,2021-02-15
380,75,13269,2021-3-22,2021-03-28
381,258,36550,2021-4-11,2021-05-03
382,791,24647,2021-5-4,2021-05-15
383,469,36564,2021-9-8,2021-09-14
384,709,39383,2021-5-27,2021-06-22
385,146,43155,2021-8-8,2021-08-24
386,458,34948,2021-2-14,2021-03-03
387,341,34491,2021-6-11,2021-06-14
388,601,34341,2021-2-12,2021-02-17
389,643,42818,2021-4-20,2021-04-23
390,206,57651,2021-1-20,2021-01-24
391,726,24661,2021-5-16,2021-06-06
392,840,32036,2021-1-12,2021-01-25
393,803,24994,2021-5-6,2021-05-27
394,508,18584,2021-9-6,2021-09-10
395,728,24101,2021-3-26,2021-04-02
396,461,57491,2021-2-26,2021-03-03
397,446,33872,2021-2-3,2021-02-22
398,13,31626,2021-9-28,2021-10-13
399,331,57278,2021-10-21,2021-10-30
400,907,44904,2021-7-2,2021-07-25
401,94,24512,2021-8-14,2021-08-24
402,537,26681,2021-3-9,2021-04-04
403,980,17088,2021-9-16,2021-09-25
404,998,45215,2021-3-3,2021-03-09
405,493,51471,2021-8-9,2021-08-12
406,892,35512,2021-7-25,2021-08-18
407,835,42595,2021-1-9,2021-01-20
408,404,39757,2021-1-30,2021-02-15
409,206,15453,2021-5-3,2021-05-11
410,47,14296,2021-8-4,2021-08-09
411,771,38909,2021-3-17,2021-04-08
412,427,25520,2021-9-23,2021-10-13
413,589,35487,2021-10-17,2021-10-31
414,212,57052,2021-1-2,2021-01-03
415,947,35686,2021-7-14,2021-07-19
416,129,37878,2021-10-8,2021-10-25
417,729,45024,2021-9-14,2021-10-11
418,918,55376,2021-8-24,2021-09-15
419,745,19518,2021-10-20,2021-11-10
420,482,25541,2021-2-22,2021-03-19
421,691,24273,2021-9-28,2021-10-09
422,375,48025,2021-3-16,2021-03-26
423,507,34107,2021-6-12,2021-06-21
424,551,58723,2021-3-13,2021-03-18
425,606,12705,2021-2-21,2021-03-17
426,776,32793,2021-9-26,2021-10-16
427,282,20082,2021-1-27,2021-02-10
428,431,48629,2021-2-24,2021-03-23
429,754,23238,2021-2-8,2021-02-22
430,155,49272,2021-2-8,2021-03-01
431,325,35804,2021-4-25,2021-05-09
432,20,37821,2021-10-20,2021-11-03
433,419,32215,2021-8-18,2021-09-02
434,940,42284,2021-5-11,2021-06-01
435,886,56764,2021-2-17,2021-02-22
436,739,47040,2021-8-17,2021-09-10
437,269,42857,2021-8-25,2021-09-05
438,989,51250,2021-5-22,2021-05-31
439,286,15329,2021-8-24,2021-09-06
440,553,14884,2021-10-9,2021-10-30
441,726,13419,2021-2-28,2021-03-02
442,693,58324,2021-3-24,2021-03-30
443,966,10043,2021-3-9,2021-03-27
444,383,33452,2021-3-7,2021-03-26
445,893,27329,2021-7-7,2021-07-27
446,283,19398,2021-3-26,2021-03-30
447,100,59708,2021-1-10,2021-01-23
448,185,16486,2021-8-20,2021-08-31
449,163,56294,2021-10-23,2021-11-09
450,648,12078,2021-4-30,2021-05-05
451,566,29859,2021-8-25,2021-09-06
452,123,50557,2021-10-9,2021-10-22
453,371,53761,2021-8-13,2021-08-22
454,441,40423,2021-3-29,2021-04-12
455,1,24550,2021-4-4,2021-04-06
456,450,53893,2021-6-28,2021-07-20
457,490,52472,2021-3-4,2021-03-12
458,757,13142,2021-10-21,2021-11-10
459,853,24079,2021-6-18,2021-07-06
460,250,29924,2021-6-7,2021-06-17
461,244,53553,2021-2-14,2021-02-19
462,769,44429,2021-1-31,2021-02-20
463,641,19206,2021-3-16,2021-04-09
464,103,26925,2021-6-29,2021-07-25
465,7,48935,2021-5-21,2021-05-23
466,628,11363,2021-6-10,2021-07-05
467,102,23636,2021-2-24,2021-03-10
468,238,56092,2021-4-15,2021-04-17
469,907,25333,2021-4-27,2021-05-04
470,810,18707,2021-9-11,2021-10-04
471,282,56849,2021-7-8,2021-07-10
472,85,44735,2021-7-15,2021-07-29
473,61,36137,2021-5-19,2021-06-12
474,571,17401,2021-8-19,2021-09-09
475,696,36229,2021-5-27,2021-06-01
476,757,42157,2021-10-7,2021-11-02
477,97,37504,2021-6-20,2021-06-26
478,452,17279,2021-10-15,2021-10-23
479,51,18796,2021-6-27,2021-07-16
480,180,38248,2021-7-15,2021-08-05
481,227,17525,2021-8-20,2021-09-12
482,111,59910,2021-8-3,2021-08-09
483,742,26333,2021-3-15,2021-03-20
484,926,26887,2021-5-5,2021-05-31
485,969,49699,2021-1-8,2021-01-28
486,643,10132,2021-4-27,2021-05-08
487,926,21220,2021-1-9,2021-02-05
488,638,52570,2021-10-1,2021-10-26
489,77,28578,2021-8-30,2021-09-21
490,816,11291,2021-9-15,2021-09-29
491,783,10074,2021-2-24,2021-03-18
492,568,49046,2021-7-24,2021-08-07
493,895,42647,2021-4-24,2021-05-03
494,740,37675,2021-7-31,2021-08-15
495,352,41706,2021-8-10,2021-08-19
496,574,32782,2021-6-17,2021-06-27
497,900,29655,2021-7-7,2021-07-09
498,647,23201,2021-7-15,2021-07-23
499,690,52749,2021-10-24,2021-10-26
500,571,41037,2021-1-15,2021-01-24
501,706,41180,2021-2-16,2021-02-25
502,485,57115,2021-2-18,2021-03-07
503,937,43249,2021-8-19,2021-09-05
504,192,57782,2021-1-13,2021-02-08
505,737,37947,2021-8-17,2021-08-27
506,648,18355,2021-9-11,2021-09-27
507,58,29761,2021-6-20,2021-07-11
508,834,42640,2021-7-17,2021-08-01
509,676,20368,2021-1-2,2021-01-25
510,125,47242,2021-9-29,2021-10-01
511,282,43667,2021-8-22,2021-09-12
512,223,21235,2021-10-13,2021-11-05
513,950,49647,2021-5-24,2021-06-04
514,740,13918,2021-7-12,2021-07-22
515,23,20627,2021-5-23,2021-06-13
516,506,20934,2021-5-21,2021-05-26
517,797,37440,2021-6-23,2021-06-30
518,196,28347,2021-6-3,2021-06-18
519,244,23212,2021-8-23,2021-09-12
520,679,13400,2021-2-4,2021-03-01
521,382,35247,2021-3-17,2021-03-31
522,761,35937,2021-3-19,2021-04-05
523,516,17584,2021-4-25,2021-05-18
524,60,28334,2021-7-21,2021-08-01
525,986,32747,2021-9-25,2021-10-20
526,55,10434,2021-5-16,2021-05-22
527,79,16864,2021-9-13,2021-10-09
528,343,56020,2021-9-16,2021-10-07
529,767,31199,2021-1-10,2021-01-19
530,467,20275,2021-1-7,2021-01-23
531,742,26445,2021-1-14,2021-02-08
532,523,11590,2021-9-8,2021-09-20
533,558,28560,2021-6-4,2021-06-09
534,49,31586,2021-9-23,2021-09-26
535,585,23905,2021-1-25,2021-02-07
536,927,21110,2021-2-5,2021-02-21
537,203,10838,2021-2-14,2021-03-13
538,754,11543,2021-1-4,2021-01-26
539,609,55906,2021-1-3,2021-01-25
540,772,37955,2021-3-21,2021-03-30
541,490,29630,2021-8-20,2021-08-22
542,282,38737,2021-2-10,2021-02-14
543,769,12692,2021-7-28,2021-08-09
544,347,14706,2021-3-5,2021-03-14
545,439,53117,2021-6-21,2021-07-02
546,664,42478,2021-4-29,2021-05-19
547,163,13784,2021-10-19,2021-10-30
548,135,19053,2021-7-17,2021-07-26
549,401,39916,2021-6-2,2021-06-09
550,26,52719,2021-8-4,2021-08-09
551,330,51823,2021-9-16,2021-09-18
552,264,14653,2021-1-10,2021-01-17
553,49,16753,2021-3-6,2021-03-14
554,842,28264,2021-5-7,2021-05-26
555,922,42350,2021-9-3,2021-09-09
556,566,40530,2021-7-30,2021-08-01
557,504,12905,2021-4-19,2021-04-24
558,729,45726,2021-3-2,2021-03-18
559,611,22094,2021-3-3,2021-03-15
560,11,41952,2021-5-28,2021-06-05
561,764,42366,2021-2-15,2021-03-13
562,632,45999,2021-9-19,2021-10-03
563,611,56965,2021-7-4,2021-07-16
564,583,16074,2021-8-23,2021-09-19
565,442,34458,2021-2-25,2021-03-15
566,614,21778,2021-7-24,2021-08-10
567,104,25661,2021-6-21,2021-06-23
568,783,49427,2021-1-9,2021-01-22
569,757,16594,2021-3-16,2021-04-06
570,81,19171,2021-3-9,2021-03-14
571,472,23645,2021-2-2,2021-02-10
572,479,34112,2021-1-1,2021-01-06
573,736,40227,2021-1-2,2021-01-09
574,434,44975,2021-6-21,2021-07-03
575,54,27420,2021-8-14,2021-08-16
576,218,12261,2021-4-26,2021-05-05
577,840,29313,2021-2-20,2021-03-12
578,926,44312,2021-5-9,2021-05-12
579,501,15623,2021-3-28,2021-04-20
580,171,26947,2021-4-30,2021-05-09
581,708,35176,2021-5-9,2021-05-29
582,783,31116,2021-9-3,2021-09-18
583,290,54787,2021-4-7,2021-04-10
584,142,37030,2021-6-29,2021-07-01
585,844,19207,2021-3-20,2021-03-23
586,998,15870,2021-2-27,2021-03-22
587,402,44323,2021-9-8,2021-09-11
588,612,13740,2021-5-26,2021-06-20
589,692,11378,2021-6-25,2021-07-20
590,898,27817,2021-7-6,2021-07-15
591,588,39095,2021-6-18,2021-07-06
592,973,15464,2021-6-29,2021-07-07
593,515,30838,2021-2-21,2021-03-11
594,711,22390,2021-6-14,2021-06-23
595,10,45626,2021-3-9,2021-03-29
596,693,51828,2021-6-13,2021-06-27
597,107,22758,2021-8-4,2021-08-16
598,638,59393,2021-6-20,2021-07-05
599,308,47972,2021-9-23,2021-10-17
600,921,19484,2021-9-15,2021-09-16
601,916,24064,2021-6-13,2021-06-28
602,987,41932,2021-2-14,2021-03-07
603,549,42922,2021-8-30,2021-09-04
604,492,21635,2021-7-20,2021-08-13
605,402,48620,2021-8-20,2021-09-06
606,692,54506,2021-1-31,2021-02-08
607,648,36692,2021-10-19,2021-11-12
608,530,31878,2021-8-13,2021-08-15
609,25,21514,2021-4-22,2021-05-08
610,735,27821,2021-8-4,2021-08-31
611,155,56937,2021-5-1,2021-05-25
612,486,31877,2021-5-10,2021-05-12
613,682,10501,2021-5-23,2021-06-07
614,732,35663,2021-4-18,2021-05-03
615,690,28680,2021-1-31,2021-02-10
616,21,28727,2021-5-13,2021-05-14
617,371,30281,2021-8-30,2021-09-07
618,882,28515,2021-8-1,2021-08-26
619,225,58688,2021-2-25,2021-03-04
620,614,41599,2021-7-19,2021-08-01
621,102,41563,2021-7-16,2021-08-07
622,587,45682,2021-5-16,2021-06-07
623,808,36530,2021-10-20,2021-10-30
624,398,20149,2021-3-19,2021-04-08
625,233,54080,2021-7-17,2021-07-28
626,348,10193,2021-9-30,2021-10-17
627,680,19664,2021-4-3,2021-04-08
628,534,20973,2021-9-8,2021-09-28
629,904,36276,2021-8-7,2021-08-20
630,644,39447,2021-1-12,2021-01-31
631,460,30101,2021-4-14,2021-05-08
632,952,44405,2021-4-11,2021-04-17
633,183,30197,2021-7-2,2021-07-13
634,327,35370,2021-10-13,2021-10-23
635,50,51943,2021-7-15,2021-08-05
636,793,23528,2021-4-2,2021-04-07
637,886,14294,2021-8-6,2021-08-18
638,548,12781,2021-10-3,2021-10-17
639,906,51950,2021-3-30,2021-04-22
640,873,11002,2021-1-23,2021-01-26
641,20,54363,2021-3-10,2021-03-22
642,835,12392,2021-1-11,2021-01-26
643,778,50321,2021-5-18,2021-05-24
644,207,52925,2021-3-13,2021-03-22
645,794,46397,2021-8-19,2021-09-13
646,369,16504,2021-5-8,2021-05-28
647,439,10912,2021-2-6,2021-02-11
648,522,43363,2021-7-16,2021-07-19
649,840,44955,2021-7-28,2021-08-16
650,739,42938,2021-1-2,2021-01-15
651,581,39199,2021-5-22,2021-05-25
652,691,30816,2021-3-9,2021-03-27
653,629,19186,2021-2-19,2021-03-18
654,417,40412,2021-8-18,2021-08-30
655,333,36298,2021-5-25,2021-06-06
656,907,19288,2021-3-22,2021-03-23
657,479,31922,2021-7-22,2021-07-28
658,201,42131,2021-5-23,2021-06-05
659,328,45445,2021-9-30,2021-10-15
660,787,48757,2021-8-16,2021-08-25
661,427,15302,2021-9-14,2021-09-17
662,924,38356,2021-9-19,2021-09-29
663,836,14469,2021-4-9,2021-04-10
664,21,11960,2021-1-7,2021-01-20
